Image Path,Label
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Wallpaper_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken_logo_1.jpg,Heineken Beer
"/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Beer Bottle And Glass, Stefan Radenkovic_logo_1.jpg",Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Thirst Quencher_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Ice_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/HD Wallpaper_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken (1)_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/HEINEKEN _ RETOUCH_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/HEINEKEN _ RETOUCH (1)_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/_ (4)_logo_4.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/FEATURED_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Beer On Ice Stock Photo - Download Image Now - Istock 81C_logo_2.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/Heineken Beer On Ice Stock Photo - Download Image Now - Istock 81C_logo_1.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/FEATURED_logo_2.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/ice_logo_2.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/ice_logo_3.jpg,Heineken Beer
/content/drive/MyDrive/labelClassification/beerLabelDataset/Heineken Beer/ice_logo_1.jpg,Heineken Beer
