epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4684,1.6116,2.25144,1.7075,1,0.35956,0.76593,0.38291,1.59192,2.53679,1.86505,0.00058,0.00058,0.00058
2,36.6084,1.56812,1.71935,1.64759,0.55927,0.60366,0.59632,0.30106,1.75669,2.3722,2.24539,0.00115664,0.00115664,0.00115664
3,49.5114,1.60093,1.61867,1.63437,0.53593,0.45068,0.45011,0.17953,2.12406,4.03556,2.76094,0.00170951,0.00170951,0.00170951
4,66.9615,1.60736,1.58832,1.64391,0.26937,0.42683,0.27928,0.09561,2.21555,2.48454,2.46617,0.0018812,0.0018812,0.0018812
5,82.7222,1.63385,1.49789,1.63833,0.66233,0.65782,0.69096,0.33129,1.8676,2.44032,2.44188,0.0018416,0.0018416,0.0018416
6,98.4779,1.59248,1.39378,1.58793,0.85596,0.68844,0.79021,0.40427,1.76629,1.60996,1.99799,0.001802,0.001802,0.001802
7,110.849,1.54009,1.31723,1.58479,0.71138,0.66129,0.73896,0.34763,1.91052,1.49873,2.09267,0.0017624,0.0017624,0.0017624
8,125.469,1.59661,1.31793,1.57501,0.73847,0.78659,0.79287,0.39311,1.76853,1.48899,1.95286,0.0017228,0.0017228,0.0017228
9,141.268,1.54723,1.22292,1.54181,0.79399,0.7378,0.81576,0.42584,1.75058,1.27798,1.85819,0.0016832,0.0016832,0.0016832
10,155.438,1.56284,1.14897,1.55961,0.76582,0.73171,0.8076,0.41333,1.7284,1.1568,1.83281,0.0016436,0.0016436,0.0016436
11,167.917,1.48934,1.10559,1.50497,0.79897,0.75128,0.81836,0.40926,1.81704,1.32781,1.96187,0.001604,0.001604,0.001604
12,184.492,1.55899,1.14841,1.57447,0.84313,0.72561,0.82754,0.4429,1.64667,1.10509,1.82853,0.0015644,0.0015644,0.0015644
13,202.223,1.54548,1.11626,1.54289,0.8578,0.7378,0.84133,0.46305,1.65354,1.0964,1.76372,0.0015248,0.0015248,0.0015248
14,217.681,1.50144,1.05402,1.51116,0.84855,0.78575,0.88059,0.45861,1.68799,0.95542,1.80612,0.0014852,0.0014852,0.0014852
15,229.584,1.43207,0.9912,1.47215,0.82342,0.76829,0.83668,0.45732,1.67239,1.04251,1.82177,0.0014456,0.0014456,0.0014456
16,244.735,1.45919,1.01129,1.47509,0.7752,0.778,0.83488,0.43809,1.64267,1.0293,1.76093,0.001406,0.001406,0.001406
